Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Ranunculaceae	Anemone villosissima (DC.) Juz.	Anemone villosissima (DC.) Juz.	T		Elven, R.  et al. 2003; /
Apiaceae	Angelica genuflexa Nutt.	Angelica genuflexa Nutt.	T	AK taxon list	
Apiaceae	Angelica gmelinii (DC.) Pimenov	Angelica gmelinii (DC.) Pimenov	T	Arctic Flora USSR	
Apiaceae	Angelica lucida auct.	Angelica gmelinii (DC.) Pimenov	T		Elven, R.  et al. 2003; /
Saxifragaceae	Antiphylla oppositifolia (L.) Fourr.	Saxifraga oppositifolia L.	T		Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Asteraceae	Anthemis cotula L.	Anthemis cotula L.	T	AK taxon list	
Asteraceae	Anthemis tinctoria L.	Cota tinctoria (L.) J. Gay ex Guss.	T		FNA 19; /
Asteraceae	Antennaria alaskana Malte	Antennaria friesiana (Trautv.) E.Ekman subsp. alaskana (Malte) Hult始	T	Bayer 93	
Asteraceae	Antennaria alborosea A.E.Porsild	Antennaria rosea Greene subsp. rosea 	T	Bayer 1993	Bayer 1993; Bayer, R. J.  1993.  A taxonomic revision of the genus Antennaria (Asteraceae: Inuleae: Gnaphaliinae) of Alaska and Yukon Territory, Northwestern North America.  Arctic and Alpine Research 25(2):150-159./
Asteraceae	Antennaria alpina (L.) G.Gaertn.	Antennaria alpina (L.) G.Gaertn.	T	AK taxon list	
Asteraceae	Antennaria alpina (L.) G.Gaertn. var. media (Greene) Jeps.	Antennaria media Greene	T	Bayer 1993	
Asteraceae	Antennaria atriceps Fernald ex Raup	Antennaria alpina (L.) G.Gaertn.	T	Bayer 93	
Asteraceae	Antennaria carpatica (Wahlenb.) Bluff & Fingerh.	Antennaria carpatica (Wahlenb.) Bluff & Fingerh.	F	AK taxon list	
Asteraceae	Antennaria carpatica (Wahlenb.) Bluff & Fingerh. var. laestadiana Trautv.	Antennaria carpatica (Wahlenb.) Bluff & Fingerh. var. laestadiana Trautv.	F	AK taxon list	
Asteraceae	Antennaria compacta Malte	Antennaria alpina (L.) G.Gaertn.	T	Bayer 93	
Asteraceae	Antennaria densifolia A.E.Porsild	Antennaria densifolia A.E.Porsild	T	Bayer 93	
Asteraceae	Antennaria dioiciformis Kom.	Antennaria dioiciformis Kom.	F	Arctic Flora USSR	
Asteraceae	Antennaria dioica (L.) G.Gaertn.	Antennaria dioica (L.) G.Gaertn.	T	AK taxon list	
Asteraceae	Antennaria ekmaniana A.E.Porsild	Antennaria friesiana (Trautv.) E.Ekman subsp. friesiana 	T		Bayer 1993; Bayer, R. J.  1993.  A taxonomic revision of the genus Antennaria (Asteraceae: Inuleae: Gnaphaliinae) of Alaska and Yukon Territory, Northwestern North America.  Arctic and Alpine Research 25(2):150-159./
Asteraceae	Antennaria elegans A.E.Porsild	Antennaria rosea Greene subsp. confinis (Greene) R.J.Bayer	T	Bayer 1993	
Asteraceae	Antennaria friesiana (Trautv.) E.Ekman	Antennaria friesiana (Trautv.) E.Ekman	F	AK taxon list	
Asteraceae	Antennaria friesiana (Trautv.) E.Ekman subsp. alaskana (Malte) Hult始	Antennaria friesiana (Trautv.) E.Ekman subsp. alaskana (Malte) Hult始	T	AK taxon list	
